Table 9,,,,,,
I:β base,II:δ diagonal,I′:δ2 diagonal squared,II′:b,III′:d,IV′,
59.30,1.24.30,1.59.00.15,1.59,2.49,1,
58.27.17.30,1.23.46.02.30,1.56.56.58.14.50.06.15,56.07,1.20.25,2,
57.30.45,1.23.06.45,1.55.07.41.15.33.45,1.16.41,1.50.49,3,
56.29.04,1.22.24.16,1.53.10.29.32.52.16,3.31.49,5.09.01,4,
54.10,1.20.50,1.48.54.01.40,1.05,1.37,5,
53.10,1.20.10,1.47.06.41.40,5.19,8.01,6,
50.54.40,1.18.41.20,1.43.11.56.28.26.40,38.11,59.01,7,
49.56.15,1.18.03.45,1.41.33.45.14.03.45,13.19,20.49,8,
48.06,1.16.54,1.38.33.36.36,8.01,12.49,9,
45.56.06.40,1.15.33.53.20,1.35.10.02.28.27.24.26.40,1.22.41,2.16.01,10,
45,1.15,1.33.45,45,1.15,11,
41.58.30,1.13.13.30,1.29.21.54.02.15,27.59,48.49,12,
40.15,1.12.15,1.27.00.03.45,2.41,4.49,13,
39.21.20,1.11.45.20,1.25.48.51.35.06.40,29.31,53.49,14,
37.20,1.10.40,1.23.13.46.40,28,53,15,
36.27.30,1.10.12.30,1.22.09.12.36.15,2.55,5.37,16,
32.50.50,1.08.24.10,1.17.58.56.24.01.40,7.53,16.25,17,
32,1.08,1.17.04,8,17,18,
30.04.53.20,1.07.07.06.40,1.15.04.53.43.54.04.26.40,1.07.41,2.31.01,19,
29.15,1.06.45,1.14.15.33.45,39,1.29,20,
27.40.30,1.06.04.30,1.12.45.54.20.15,6.09,14.41,21,
25,1.05,1.10.25,5,13,22,
24.11.40,1.04.41.40,1.09.45.22.16.06.40,14.31,38.49,23,
22.22,1.04.02,1.08.20.16.04,11.11,32.01,24,
21.34.22.30,1.03.45.37.30,1.07.45.23.26.38.26.15,34.31,1.42.01,25,
20.51.15,1.03.31.15,1.07.14.53.46.33.45,16.41,50.49,26,
20.04,1.03.16,1.06.42.40.16,5.01,15.49,27,
18.16.40,1.02.43.20,1.05.34.04.37.46.40,5.29,18.49,28,
17.30,1.02.30,1.05.06.15,7,25,29,
14.57.45,1.01.50.15,1.03.43.52.35.03.45,6.39,27.29,30,
13.30,1.01.30,1.03.02.15,9,41,31,
11,1.01,1.02.01,11,1.01,32,
10.14.35,1.00.52.05,1.01.44.55.12.40.25,4.55,29.13,33,
7.05,1.00.25,1.00.50.10.25,17,2.25,34,
6.20,1.00.20,1.00.40.06.40,19,3.01,35,
4.37.20,1.00.10.40,1.00.21.21.53.46.40,52,11.17,36,
3.52.30,1.00.07.30,1.00.15.00.56.15,31,8.01,37,
2.27,1.00.03,1.00.06.00.09,49,20.01,38,